PCCO;STRAATNAAM;HSNR.;TOEVOEG;POSTCD;PLAATS;STATUS
J35060014 ;PARADIJS;14;;2801XR;GOUDA;C
;;;;;;C
J35060016 ;PARADIJS;16;;2801XR;GOUDA;C
;;;;;;C
J35060022 ;PARADIJS;22;;2801XR;GOUDA;C
;;;;;;C
J35110001 ;ROZENDAAL;1;;2801XS;GOUDA;C
;;;;;;C
J35110001A;ROZENDAAL;1;A;2801XS;GOUDA;C
;;;;;;C
J35110002 ;ROZENDAAL;2;;2801XS;GOUDA;C
;;;;;;C
J35110006 ;ROZENDAAL;6;;2801XS;GOUDA;C
;;;;;;C
J35110009 ;ROZENDAAL;9;;2801XS;GOUDA;C
;;;;;;C
J35110011 ;ROZENDAAL;11;;2801XS;GOUDA;C
;;;;;;C
J35110011A;ROZENDAAL;11;A;2801XS;GOUDA;C
;;;;;;C
J35110011B;ROZENDAAL;11;B;2801XS;GOUDA;C
;;;;;;C
J35110013 ;ROZENDAAL;13;;2801XS;GOUDA;C
;;;;;;C
J35110013A;ROZENDAAL;13;A;2801XS;GOUDA;C
;;;;;;C
J35110013B;ROZENDAAL;13;B;2801XS;GOUDA;C
;;;;;;C
J35160015 ;WILHELMINASTRAAT;15;;2801XH;GOUDA;C
;;;;;;C
J35160025 ;WILHELMINASTRAAT;25;;2801XJ;GOUDA;C
;;;;;;C
J35160027 ;WILHELMINASTRAAT;27;;2801XJ;GOUDA;C
;;;;;;C
J35160029 ;WILHELMINASTRAAT;29;;2801XJ;GOUDA;C
;;;;;;C
J35160036 ;WILHELMINASTRAAT;36;;2801XK;GOUDA;C
;;;;;;C
J35260010 ;SPELDENMAKERSSTEEG;10;;2801XN;GOUDA;C
;;;;;;C
J35310011 ;CAPPENERSTEEG;11;;2801XP;GOUDA;C
;;;;;;C
J35310012 ;CAPPENERSTEEG;12;;2801XP;GOUDA;C
;;;;;;C
J35310014 ;CAPPENERSTEEG;14;;2801XP;GOUDA;C
;;;;;;C
J35310018 ;CAPPENERSTEEG;18;;2801XP;GOUDA;C
;;;;;;C
J35310026 ;CAPPENERSTEEG;26;;2801XP;GOUDA;C
;;;;;;C
J35310028 ;CAPPENERSTEEG;28;;2801XP;GOUDA;C
;;;;;;C
J35310030 ;CAPPENERSTEEG;30;;2801XP;GOUDA;C
;;;;;;C
J35410053A;LANGE TIENDEWEG;53;A;2801KE;GOUDA;C
;;;;;;C
J35410055A;LANGE TIENDEWEG;55;A;2801KG;GOUDA;C
;;;;;;C
J35410055B;LANGE TIENDEWEG;55;B;2801KG;GOUDA;C
;;;;;;C
J35410059 ;LANGE TIENDEWEG;59;;2801KG;GOUDA;C
;;;;;;C
J35410063 ;LANGE TIENDEWEG;63;;2801KG;GOUDA;C
;;;;;;C
J35410067 ;LANGE TIENDEWEG;67;;2801KG;GOUDA;C
;;;;;;C
J35410075 ;LANGE TIENDEWEG;75;;2801KG;GOUDA;C
;;;;;;C
J35410079 ;LANGE TIENDEWEG;79;;2801KG;GOUDA;C
;;;;;;C
J35410081 ;LANGE TIENDEWEG;81;;2801KG;GOUDA;C
;;;;;;C
J35410083 ;LANGE TIENDEWEG;83;;2801KG;GOUDA;C
;;;;;;C
J35410085 ;LANGE TIENDEWEG;85;;2801KG;GOUDA;C
;;;;;;C
J35410087 ;LANGE TIENDEWEG;87;;2801KG;GOUDA;C
;;;;;;C
J35410089 ;LANGE TIENDEWEG;89;;2801KG;GOUDA;C
;;;;;;C
J35410091 ;LANGE TIENDEWEG;91;;2801KG;GOUDA;C
;;;;;;C
J35410093 ;LANGE TIENDEWEG;93;;2801KG;GOUDA;C
;;;;;;C
J35410101 ;LANGE TIENDEWEG;101;;2801KG;GOUDA;C
;;;;;;C
J35410109 ;LANGE TIENDEWEG;109;;2801KG;GOUDA;C
;;;;;;C
J35810015 ;SPIERINGSTRAAT;15;;2801ZH;GOUDA;C
;;;;;;C
J37910093 ;HOGE GOUWE;93;;2801LD;GOUDA;C
;;;;;;C
J37910107A;HOGE GOUWE;107;A;2801LD;GOUDA;C
;;;;;;C
J37910157 ;HOGE GOUWE;157;;2801LE;GOUDA;C
;;;;;;C
J37960005 ;NONNENWATER;5;;2801VA;GOUDA;C
;;;;;;C
J38060006A;AALTJE BAKSTRAAT;6;A;2801NH;GOUDA;C
;;;;;;C
